#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-10-02T14:41:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
#
#
#Coosys J2000: eq_FK5 J2000
#INFO votable-version=1.99+ (14-Oct-2013)
#INFO -ref=VIZ542d63fe1e03
#INFO -out.max=unlimited
#INFO queryParameters=13
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/543/A98&tab:{J/A+A/543/A98/veloc}&tab:{J/A+A/543/A98/photom}&key:source=J/A+A/543/A98/veloc&key:source=J/A+A/543/A98/photom&HTTPPRM:&&-ref=VIZ542d63fe1e03&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/A+A/543/A98/veloc,J/A+A/543/A98/photom
#-order=I
#-out=HJD
#-out=RV
#-out=e_RV
#-out=Int
#-out=e_Int
#
#INFO CatalogsExamined=2
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35430098
#Name: J/A+A/543/A98
#Title: {beta} Gem radial velocity and photometric data (Hatzes+, 2012)
#Table J_A_A_543_A98_veloc:
#Name: J/A+A/543/A98/veloc
#Title: Radial velocities of beta Gem \vizContent{timeSerie}(\wGraph{J/A+A/543/A98/./veloc}{}{velocity curve})
#---Details of Columns:
    HJD (d)    (F13.5) Heliocentric Julian date [ucd=time.epoch]
    RV (m/s)   (F6.2)  Radial velocity [ucd=phys.veloc;pos.heliocentric]
    e_RV (m/s) (F5.2)  rms uncertainty on RV [ucd=stat.error]
------------- ------ -----
              RV     e_RV
HJD (d)       (m/s)  (m/s)
------------- ------ -----
2450076.65070   2.25  2.78
2450076.65256   2.79  2.90
2450076.65444   2.27  2.82
2450076.65649   3.01  2.85
2450076.65870   3.48  2.80
2450076.66088   2.14  2.59
2450076.66915   4.90  2.94
2450076.67171   4.23  2.81
2450076.67391   2.79  3.07
2450076.67608   4.33  2.84
2450076.68072   1.79  2.77
2450076.68291  -0.37  2.86
2450076.68508   1.23  2.88
2450076.68725   2.42  2.94
2450076.68725   2.42  2.94
2450076.68946  -0.16  2.56
2450076.68946  -0.16  2.56
2450076.69162  -1.38  2.99
2450076.69162  -1.38  2.99
2450076.69381   0.73  2.74
2450076.69598   0.40  2.84
2450076.69817  -5.12  3.44
2450076.70075  -0.31  2.77
2450076.70371  -3.07  3.13
2450076.70659  -2.04  3.09
2450076.71056   0.18  3.45
2450076.71574  -4.18  2.64
2450076.71830  -2.93  2.63
2450076.72052  -2.23  2.72
2450076.72273  -2.58  2.81
2450076.72493  -4.51  2.78
2450076.72718  -2.52  2.65
2450076.72941  -3.33  2.72
2450076.73159  -3.94  2.69
2450076.73376  -0.94  2.66
2450076.73594  -1.66  2.68
2450076.73819  -2.47  2.76
2450076.74040  -0.27  2.76
2450077.49107   2.58  2.72
2450077.49379   6.29  2.77
2450077.49602   4.49  2.87
2450077.49821   4.37  2.96
2450077.50041   4.56  2.90
2450077.50264   4.29  2.92
2450077.51549   8.40  2.75
2450077.51770   7.47  2.74
2450077.52027   8.86  2.68
2450077.52209  10.32  2.66
2450077.52395   8.18  2.70
2450077.52577   9.69  2.82
2450077.53675   8.71  2.73
2450077.53862   8.70  2.73
2450077.54046   8.09  2.80
2450077.54227   8.98  2.78
2450077.54409   6.03  2.76
2450077.54592   5.77  2.80
2450077.54773   6.80  2.77
2450077.54959   6.33  2.78
2450077.55142   7.71  2.95
2450077.55384   3.58  2.75
2450077.55384   3.58  2.75
2450077.55675   3.10  2.68
2450077.55675   3.10  2.68
2450077.55936   0.41  2.68
2450077.55936   0.41  2.68
2450077.56156   0.57  2.73
2450077.57019  -0.94  2.74
2450077.57204  -1.61  2.73
2450077.57388  -2.21  2.76
2450077.57572  -1.92  2.66
2450077.57757  -3.52  2.81
2450077.57945  -1.68  2.79
2450077.59144  -5.16  2.82
2450077.59330  -3.63  2.91
2450077.59514  -5.37  2.96
2450077.59700  -3.28  2.84
2450077.59891  -2.94  2.80
2450077.60074  -0.80  2.71
2450077.60246  -2.26  2.94
2450077.60413  -2.68  2.77
2450077.60597  -1.23  2.66
2450077.60786  -0.47  2.62
2450077.61626   2.49  2.80
2450077.61808   2.55  2.81
2450077.61991   2.34  2.87
2450077.62197   2.44  2.72
2450077.62454  -0.32  5.48
2450077.62812   8.52  3.45
2450077.65337   9.79  3.24
2450077.65607   8.48  2.77
2450077.65976   8.14  2.83
2450077.67291   7.08  3.39
2450077.67684  10.86  3.26
2450077.68039   6.55  3.12
2450077.68408   9.31  3.16
2450077.68768   2.99  3.04
